rm_item_desc;date;amount_rs_crore;prompts_time_1;sequence
RM2.1.2) RBI's Claims on Banks & Commercial sector;4/19/2002;16754;4/19/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;4/26/2002;14157;4/26/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;5/3/2002;17757;5/3/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;5/10/2002;14760;5/10/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;5/17/2002;14652;5/17/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;5/24/2002;13658;5/24/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;5/31/2002;10512;5/31/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;6/7/2002;9737;6/7/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;6/14/2002;9801;6/14/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;6/21/2002;9725;6/21/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;6/28/2002;10140;6/28/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;7/5/2002;9486;7/5/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;7/12/2002;9660;7/12/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;7/19/2002;9598;7/19/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;7/26/2002;9675;7/26/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;8/2/2002;8723;8/2/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;8/9/2002;8662;8/9/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;8/16/2002;8802;8/16/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;8/23/2002;8658;8/23/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;8/30/2002;9171;8/30/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;9/6/2002;9408;9/6/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;9/13/2002;9472;9/13/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;9/20/2002;9357;9/20/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;9/27/2002;9731;9/27/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;10/4/2002;9320;10/4/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;10/11/2002;9717;10/11/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;10/18/2002;9804;10/18/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;10/25/2002;9552;10/25/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;11/1/2002;9462;11/1/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;11/8/2002;9334;11/8/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;11/15/2002;9431;11/15/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;11/22/2002;8960;11/22/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;11/29/2002;9302;11/29/2002;1158
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);1/4/2002;11046;1/4/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);1/11/2002;9056;1/11/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);1/18/2002;11190;1/18/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);1/25/2002;11247;1/25/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);2/1/2002;10128;2/1/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);2/8/2002;13184;2/8/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);2/15/2002;12171;2/15/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);2/22/2002;11775;2/22/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);3/1/2002;11983;3/1/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);3/8/2002;10045;3/8/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);3/15/2002;12723;3/15/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);3/22/2002;10904;3/22/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);3/29/2002;11168;3/29/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);4/5/2002;7776;4/5/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);4/12/2002;8857;4/12/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);4/19/2002;11292;4/19/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);4/26/2002;9734;4/26/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);5/3/2002;11825;5/3/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);5/10/2002;10215;5/10/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);5/17/2002;9696;5/17/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);5/24/2002;9621;5/24/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);5/31/2002;7418;5/31/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);6/7/2002;6744;6/7/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);6/14/2002;6821;6/14/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);6/21/2002;6804;6/21/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);6/28/2002;7221;6/28/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);7/5/2002;6552;7/5/2002;1159
RM2.1.2.1) RBI's Claims on Banks (Including NABARD);7/12/2002;6731;7/12/2002;1159
RM1.1) Currency in circulation -Total ;12/7/2001;243099;12/7/2001;1150
RM1.1) Currency in circulation -Total ;12/14/2001;243131;12/14/2001;1150
RM1.1) Currency in circulation -Total ;12/21/2001;241420;12/21/2001;1150
RM1.1) Currency in circulation -Total ;12/28/2001;239470;12/28/2001;1150
RM1.2) `Other' deposits with RBI ;12/7/2001;2494;12/7/2001;1152
RM1.2) `Other' deposits with RBI ;12/14/2001;2826;12/14/2001;1152
RM1.2) `Other' deposits with RBI ;12/21/2001;2470;12/21/2001;1152
RM1.2) `Other' deposits with RBI ;12/28/2001;2519;12/28/2001;1152
RM1.3) Bankers' deposits with RBI ;9/21/2001;71909;9/21/2001;1153
RM1.1) Currency in circulation -Total ;11/22/2002;270898;11/22/2002;1150
RM1.1) Currency in circulation -Total ;11/29/2002;267986;11/29/2002;1150
RM1.2) `Other' deposits with RBI ;1/4/2002;2609;1/4/2002;1152
RM1.2) `Other' deposits with RBI ;1/11/2002;2424;1/11/2002;1152
RM1.2) `Other' deposits with RBI ;1/18/2002;2384;1/18/2002;1152
RM1.2) `Other' deposits with RBI ;1/25/2002;2298;1/25/2002;1152
RM1.2) `Other' deposits with RBI ;2/1/2002;2640;2/1/2002;1152
RM1.2) `Other' deposits with RBI ;2/8/2002;2216;2/8/2002;1152
RM1.2) `Other' deposits with RBI ;2/15/2002;2316;2/15/2002;1152
RM1.2) `Other' deposits with RBI ;2/22/2002;2322;2/22/2002;1152
RM1.2) `Other' deposits with RBI ;3/1/2002;2507;3/1/2002;1152
RM1.2) `Other' deposits with RBI ;3/8/2002;2199;3/8/2002;1152
RM1.2) `Other' deposits with RBI ;3/15/2002;2492;3/15/2002;1152
RM1.2) `Other' deposits with RBI ;3/22/2002;2704;3/22/2002;1152
RM1.2) `Other' deposits with RBI ;3/29/2002;3033;3/29/2002;1152
RM1.2) `Other' deposits with RBI ;4/5/2002;2645;4/5/2002;1152
RM1.2) `Other' deposits with RBI ;4/12/2002;2344;4/12/2002;1152
RM1.2) `Other' deposits with RBI ;4/19/2002;2360;4/19/2002;1152
RM1.2) `Other' deposits with RBI ;4/26/2002;2525;4/26/2002;1152
RM1.2) `Other' deposits with RBI ;5/3/2002;2212;5/3/2002;1152
RM1.2) `Other' deposits with RBI ;5/10/2002;2373;5/10/2002;1152
RM1.2) `Other' deposits with RBI ;5/17/2002;2316;5/17/2002;1152
RM1.2) `Other' deposits with RBI ;5/24/2002;2249;5/24/2002;1152
RM1.2) `Other' deposits with RBI ;5/31/2002;2272;5/31/2002;1152
RM1.2) `Other' deposits with RBI ;6/7/2002;2077;6/7/2002;1152
RM1.2) `Other' deposits with RBI ;6/14/2002;2371;6/14/2002;1152
RM1.2) `Other' deposits with RBI ;6/21/2002;3883;6/21/2002;1152
RM1.2) `Other' deposits with RBI ;6/28/2002;3238;6/28/2002;1152
RM1.2) `Other' deposits with RBI ;7/5/2002;3792;7/5/2002;1152
RM1.2) `Other' deposits with RBI ;7/12/2002;4017;7/12/2002;1152
RM1.2) `Other' deposits with RBI ;7/19/2002;3617;7/19/2002;1152
RM1.2) `Other' deposits with RBI ;7/26/2002;3778;7/26/2002;1152
RM1.2) `Other' deposits with RBI ;8/2/2002;3629;8/2/2002;1152
RM1.2) `Other' deposits with RBI ;8/9/2002;3551;8/9/2002;1152
